frame_id,node_id,x,y
0,0,70.16504,612.2787
0,1,308.24918,189.76283
0,2,360.70932,603.7123
0,3,477.33835,221.83511
0,4,428.09988,38.363503
0,5,501.62494,579.63666
0,6,463.3675,115.15245
0,7,739.5344,182.48946
0,8,866.3229,308.0775
0,9,972.7464,778.6828
0,10,1195.7465,775.9704
1,0,409.30472,292.726
1,1,377.22073,34.40237
1,2,429.73743,556.3936
1,3,432.29642,103.72228
1,4,400.53915,152.89888
1,5,431.69363,47.635002
1,6,520.90686,219.079
1,7,588.98816,720.5716
1,8,858.1892,380.70956
1,9,903.62885,312.52762
2,0,51.623245,102.43654
2,1,385.39417,269.44354
2,2,253.76097,659.92303
2,3,355.48978,26.597795
2,4,410.04947,540.6573
2,5,429.7942,86.18367
2,6,478.10748,507.65427
2,7,609.2886,200.07005
2,8,852.7533,380.76477
2,9,929.0825,444.9716
2,10,942.7554,303.05865
2,11,1122.0587,765.0076
3,0,17.816298,637.22906
3,1,345.37634,270.1448
3,2,132.85054,775.87274
3,3,226.23763,658.7763
3,4,330.9146,25.986254
3,5,422.9783,95.025024
3,6,382.02634,539.5277
3,7,380.1591,321.4981
3,8,408.74765,625.7454
3,9,422.4203,196.52145
3,10,444.19778,529.97174
3,11,619.89905,7.5617156
3,12,638.4623,309.7183
3,13,855.63306,404.03528
3,14,829.7842,657.40985
3,15,954.76587,557.28705
3,16,1020.9238,449.8793
3,17,1091.1593,718.66534
4,0,454.13156,246.70549
4,1,290.7274,116.05822
4,2,316.29553,309.49594
4,3,338.6897,35.58281
4,4,351.7473,629.9767
4,5,450.78537,14.8429
4,6,385.58868,60.618977
4,7,563.3722,75.109695
4,8,529.0575,507.96887
4,9,496.7653,764.6733
4,10,737.6102,73.869415
4,11,964.88324,408.50735
4,12,1030.6404,399.73007
4,13,1042.0177,466.0544
4,14,1089.9043,535.0937
4,15,1099.3939,450.4644
5,0,444.6809,259.63284
5,1,431.93008,33.417767
5,2,372.2873,621.9626
5,3,583.5829,87.07964
5,4,490.03494,517.4629
5,5,431.93008,33.417767
5,6,976.2362,386.76724
5,7,1021.2448,443.3591
5,8,1056.761,548.9854
5,9,1164.043,606.7129
5,10,1143.2152,553.2898
6,0,35.57975,214.08833
6,1,460.8104,272.3934
6,2,276.31113,663.4763
6,3,415.02628,21.885706
6,4,636.5348,91.40435
6,5,490.13956,549.7665
6,6,505.6251,35.8935
6,7,561.8258,507.3967
6,8,1060.617,479.5953
6,9,1051.1355,556.2144
6,10,1132.4099,447.6224
6,11,1159.7277,584.62067
7,0,409.6323,282.29715
7,1,368.3153,28.415304
7,2,458.05875,544.01746
7,3,467.4607,55.987823
7,4,671.76166,102.409454
7,5,1012.3706,486.0818
7,6,1010.0522,563.4041
7,7,1056.4908,450.95364
7,8,1120.6018,588.7592
8,0,57.216965,284.83176
8,1,447.08307,264.96222
8,2,349.511,26.482409
8,3,451.75534,506.134
8,4,499.55508,160.58537
8,5,610.9564,7.7891707
8,6,749.3847,74.9008
8,7,721.0612,282.15286
9,0,108.56424,301.40048
9,1,501.59338,281.82703
9,2,407.75656,36.1958
9,3,511.09592,526.00543
9,4,552.2942,182.18494
9,5,600.3766,371.535
9,6,600.3766,371.535
9,7,746.4701,8.385728
9,8,780.2543,265.26553
9,9,864.90576,84.497345
10,0,30.472988,290.8291
10,1,30.472988,290.8291
10,2,446.96484,279.44894
10,3,341.41348,38.5782
10,4,452.73126,534.5831
10,5,387.92105,767.41437
10,6,492.47464,176.50363
10,7,572.37366,342.06186
10,8,681.48706,288.15878
11,0,55.962936,296.74872
11,1,62.74963,88.7164
11,2,452.8198,281.3434
11,3,166.79782,544.897
11,4,329.40518,54.263115
11,5,453.176,563.91254
11,6,433.48328,231.92749
11,7,452.21643,50.57425
11,8,495.9703,177.39621
11,9,628.3915,359.26474
11,10,1044.5923,124.94652
12,0,15.608642,371.8687
12,1,67.70769,285.5376
12,2,496.51187,274.4337
12,3,339.4699,59.021755
12,4,486.01614,595.27136
12,5,518.6709,166.66823
12,6,644.1389,349.76328
12,7,862.3933,22.80285
13,0,69.2479,302.147
13,1,503.71182,276.20517
13,2,321.3549,87.29387
13,3,414.5517,215.48695
13,4,481.73712,638.6859
13,5,621.76685,362.24908
13,6,621.76685,362.24908
13,7,910.6205,357.20486
13,8,848.5592,22.575655
13,9,1003.6199,330.55106
13,10,1011.4757,547.9027
13,11,1193.5128,456.7883
14,0,428.47043,279.00632
14,1,301.6115,99.28116
14,2,490.2202,689.2271
14,3,511.51273,501.3129
14,4,516.9136,171.1196
14,5,679.9847,234.45985
14,6,875.5242,341.5211
14,7,1011.3671,463.56598
14,8,1023.73804,550.3621
15,0,385.36188,283.11893
15,1,28.137587,764.738
15,2,18.246862,220.61853
15,3,269.86087,116.937996
15,4,466.84482,729.0229
15,5,482.67538,502.9531
15,6,491.65512,173.6376
15,7,601.2676,223.2189
15,8,760.01416,318.07443
15,9,931.8301,393.38907
15,10,769.5638,327.12967
15,11,979.4956,465.6961
15,12,996.2835,553.171
15,13,1197.3594,427.96494
16,0,368.06137,288.01126
16,1,24.204573,740.5213
16,2,242.89452,134.519
16,3,475.97327,772.3863
16,4,488.732,514.66144
16,5,498.58728,184.83014
16,6,524.1839,634.19165
16,7,544.0199,45.148163
16,8,524.1839,634.19165
16,9,541.8371,213.5892
16,10,586.47,499.22836
16,11,604.27686,386.47205
16,12,642.3165,6.688417
16,13,775.40076,324.01727
16,14,987.1666,476.8245
16,15,997.34766,566.0453
17,0,344.00327,285.55264
17,1,217.39362,150.09328
17,2,383.686,389.7871
17,3,475.60236,501.77747
17,4,488.22812,172.04942
17,5,499.0279,752.94073
17,6,512.0763,684.71216
17,7,525.72565,585.40845
17,8,584.883,380.78415
17,9,649.4876,280.2516
17,10,649.4876,280.2516
17,11,758.5325,313.4612
17,12,677.14465,136.25227
17,13,979.2337,461.41373
17,14,987.6007,554.12384
18,0,76.35707,291.6278
18,1,194.45439,167.03658
18,2,360.1463,289.53036
18,3,486.2045,503.54245
18,4,495.71982,174.2104
18,5,644.5762,293.73767
18,6,506.89267,752.2649
18,7,533.9291,600.4644
18,8,591.05347,388.5768
18,9,660.5535,5.566728
18,10,786.8952,83.07872
18,11,987.4243,462.02805
18,12,1000.371,554.3829
19,0,157.95267,202.43303
19,1,427.19608,303.52316
19,2,497.70544,497.06604
19,3,497.70544,497.06604
19,4,604.9628,254.67995
19,5,542.08936,739.83887
19,6,545.1749,164.79164
19,7,624.2887,392.92987
19,8,677.50836,5.811441
19,9,846.7058,125.373245
19,10,1021.59064,10.630937
19,11,1020.18207,465.6298
19,12,1034.503,559.86835
20,0,140.10973,174.81303
20,1,350.2031,313.5139
20,2,469.80518,144.07816
20,3,493.78006,513.6841
20,4,554.13043,238.12758
20,5,513.71796,740.3653
20,6,596.4584,407.48404
20,7,644.2188,12.151887
20,8,819.83044,133.83267
20,9,952.338,21.982714
20,10,1009.7284,568.71606
21,0,137.51399,167.07915
21,1,305.2732,297.68283
21,2,143.16975,340.2101
21,3,470.4455,172.94864
21,4,470.4455,172.94864
21,5,497.60684,748.57367
21,6,488.85556,505.93106
21,7,498.95163,109.51502
21,8,538.5529,598.0098
21,9,590.94745,404.44162
21,10,811.37244,122.802444
21,11,936.70215,45.318726
