all_stack_cell_id,all_stack_centroid_x,all_stack_centroid_y,all_stack_frame_nb
1,690.3480475382,63.7733446519525,1
1,691.038653366584,64.0889443059019,2
1,689.308939526731,65.6393514460999,3
1,688.375506528591,66.6204412426835,4
1,688.444543828265,68.9700357781753,5
1,688.746863799283,70.0452508960574,6
1,688.212015672616,70.3926861123204,7
1,686.659407665505,70.9747386759582,8
1,685.977631578947,68.1631578947368,9
1,684.140757238307,65.0293986636971,10
1,684.29009329187,59.9466903598401,11
1,683.792633015007,54.5434288312869,12
1,682.985883424408,51.3123861566485,13
1,681.036339165545,49.2480933153881,14
1,679.074690770695,46.1717411988582,15
1,674.5220154335,44.6332274171584,16
1,671.316381418093,40.5931540342298,17
1,665.691519105312,38.7581547064306,18
1,662.344194584672,36.581459385039,19
1,658.026737967914,32.7736185383244,20
1,657.393602225313,29.1121928604543,21
1,654.422825070159,24.1838166510758,22
1,655.483164083378,21.2902191341529,23
1,655.965902410347,19.9641387419165,24
1,655.964019851117,19.5,25
1,653.934251721979,18.9248591108328,26
1,651.363859864782,18.9489858635526,27
1,649.502127659575,19.1276595744681,28
1,646.438471502591,18.5913212435233,29
1,643.421383647799,17.408106219427,30
1,639.530398322851,15.7449336128581,31
1,636.148506860371,13.9757869249395,32
1,633.375932835821,12.3563432835821,33
1,629.115160349854,8.11661807580175,34
1,626.940433212996,7.1841155234657,35
1,625.5960591133,7.83908045977012,36
1,620.181959564541,7.58942457231726,37
1,617.490347490348,7.21621621621622,38
2,325.864962189413,273.389629096147,1
2,326.379136690647,273.765467625899,2
2,323.288489208633,272.874820143885,3
2,319.597338403042,270.945627376426,4
2,318.068862275449,271.148203592814,5
2,316.364885496183,269.357633587786,6
2,314.621982918678,272.213887857408,7
2,313.362144420131,271.428884026258,8
2,313.998163789938,271.632390745501,9
2,313.883233532934,269.666916167665,10
2,317.221489526765,266.2812257564,11
2,316.47801578354,261.877489665539,12
2,317.43687150838,258.908752327747,13
2,314.779732313576,255.487954110899,14
2,313.9388,254.3512,15
2,313.959372485921,252.439662107804,16
2,315.953012048193,252.718072289157,17
2,317.181890075129,250.712139185449,18
2,317.25837520938,251.467755443886,19
3,317.516429840142,134.660301953819,1
3,319.112626484822,135.134623845139,2
3,318.469179600887,134.506430155211,3
3,320.599615014437,135.991819056785,4
3,323.083976833977,135.72249034749,5
3,325.663141993958,136.738670694864,6
3,325.944782168186,136.92654508612,7
3,324.630498533724,135.320136852395,8
3,322.354311199207,135.08721506442,9
3,319.427818756586,133.082191780822,10
3,316.028617710583,132.433045356371,11
3,314.762005277045,131.302374670185,12
3,312.728758169935,131.228758169935,13
3,314.255888650964,131.311027837259,14
3,313.707416879795,129.417902813299,15
3,316.727967396842,129.961793173714,16
3,317.782765737874,130.247162022704,17
3,320.405176704828,130.174216027875,18
3,320.706680060271,132.963335007534,19
4,347.821310875137,513.376418894178,1
4,348.391176470588,513.700735294118,2
4,347.31043445971,514.911251392499,3
4,347.71952617501,515.764998089415,4
4,348.99961508853,515.874518860662,5
4,351.217638152914,514.404996214989,6
4,352.873103958565,510.879763226045,7
4,355.324294613411,508.113961157933,8
4,357.469460227273,504.153053977273,9
4,361.660404624277,500.558164739884,10
4,364.139027877055,498.806290207291,11
4,365.524064171123,497.937967914439,12
4,366.836677226329,500.469904963041,13
4,364.456712232737,502.107956536979,14
4,363.402691887959,506.463077482721,15
4,362.669256381798,508.766555678875,16
4,362.657414170928,511.789992695398,17
4,362.458148148148,511.065185185185,18
4,359.944648093842,511.137096774194,19
5,241.834793491865,698.208176887776,1
5,242.308979591837,698.965306122449,2
5,242.094300943009,698.157031570316,3
5,241.164895877603,700.718232044199,4
5,241.324335904027,702.718508997429,5
5,243.047558386412,705.063694267516,6
5,245.202293202293,709.372645372645,7
5,247.574947807933,711.528183716075,8
5,251.202941176471,715.818487394958,9
5,253.057010135135,716.075168918919,10
5,255.434523809524,717.692176870748,11
5,257.267204757859,721.538657604078,12
5,258.420825147348,723.713163064833,13
5,260.37515842839,727.664554288128,14
5,261.898668956634,728.353370545298,15
5,262.451963241437,727.327485380117,16
5,260.57012592271,721.231003039514,17
5,258.073583180987,716.74268738574,18
5,256.255764304014,711.571306575576,19
5,254.614746543779,709.266359447005,20
5,256.208752515091,707.527665995976,21
5,254.506400409626,705.968766001024,22
5,254.334006462036,694.85056542811,23
5,253.367694805195,690.842938311688,24
6,575.84509729111,666.334605112552,1
6,574.362948960302,666.406427221172,2
6,575.641650294696,665.436149312377,3
6,575.684574684575,665.636141636142,4
6,574.871048252912,663.85690515807,5
6,573.738570241064,665.649625935162,6
6,572.920221843003,664.964163822526,7
6,570.921854873336,666.853585229712,8
6,571.968177855275,668.514821272886,9
6,571.311280746395,671.900763358779,10
6,572.186794092094,673.899652476108,11
6,572.216585796206,676.414644905161,12
6,574.236489407696,677.59878945093,13
6,574.329432943294,678.579657965797,14
6,576.885281385281,679.607359307359,15
6,576.090868596882,681.055679287305,16
6,577.252974878801,682.997355663288,17
6,578.049195402299,684.649195402299,18
6,579.342346471127,687.194317140238,19
6,580.470391595033,688.478510028653,20
6,578.233014354067,689.073205741627,21
6,575.056678383128,688.52460456942,22
6,572.5,690.205660377359,23
6,570.46935648621,690.198672114402,24
6,568.448968512486,692.304560260586,25
6,571.646810753822,694.487612018977,26
6,569.447549244159,694.992670636738,27
7,700.087802940008,160.81565355582,1
7,699.948067161265,162.354939476767,2
7,700.286677240285,161.693100713719,3
7,699.45876077144,162.406647517439,4
7,699.844245628304,164.901179341196,5
7,701.276778413737,166.962387571545,6
7,701.138275718451,169.374843815077,7
7,700.646566164154,170.857202680067,8
7,698.275132275132,172.767195767196,9
7,696.370216306156,173.211314475874,10
7,695.719015280136,173.155348047538,11
7,694.118665018541,173.180057684384,12
7,691.485655737705,171.133606557377,13
7,688.372471241571,173.257834192781,14
7,685.647255969837,172.393380812736,15
7,684.6,173.815151515152,16
7,682.782551512494,172.634809294169,17
7,681.743993010048,171.634775010922,18
7,679.286516853933,169.936473638721,19
7,677.979418344519,169.453243847875,20
7,675.123644251627,167.016052060738,21
7,670.001886792453,164.762641509434,22
7,664.703418803419,161.47735042735,23
7,660.90861618799,161.218885987815,24
7,655.956078083407,161.196539485359,25
7,652.148211977596,159.722102542008,26
7,647.139385602934,159.605685465383,27
7,642.764223941739,157.037323623122,28
7,641.253687315634,157.616519174041,29
7,640.251859196827,158.221616261775,30
7,641.890723652258,159.116075764934,31
7,644.337035248672,160.681313375181,32
7,647.174757281553,158.661650485437,33
7,649.745264207378,158.192921236291,34
7,650.866835443038,155.436962025316,35
7,650.800921187308,153.42681678608,36
7,650.034866093987,151.429004547751,37
7,649.342424242424,149.372727272727,38
7,651.127995920449,149.875063742988,39
7,649.537810945274,147.680099502488,40
7,648.550402271652,146.856128726929,41
7,647.346698113208,144.052358490566,42
7,644.92994291645,144.568759730151,43
7,645.579434447301,144.350642673522,44
7,644.645110410095,145.966351209253,45
7,647.990444536768,148.651848774408,46
7,651.99390429747,146.718683328254,47
7,651.808793154323,149.524048391856,48
8,373.530476542298,607.700036941263,1
8,372.579688658265,607.583765752409,2
8,373.057419835943,609.118195376585,3
8,369.904104334484,608.789029535865,4
8,367.242655935614,608.863179074447,5
8,364.762773722628,608.13300892133,6
8,362.52571891454,606.125151883354,7
8,361.972994760177,604.998387746876,8
8,361.096787827557,604.453085376162,9
8,361.326320309146,604.758265349936,10
8,362.132895401718,605.545224861041,11
8,362.312568306011,606.018032786885,12
8,360.064048620851,603.410472183263,13
8,359.094300943009,604.168921689217,14
9,371.626878130217,586.873956594324,15
10,344.325609756098,619.451219512195,15
10,356.647162599236,604.628932666863,16
11,338.846880907372,619.07120352867,17
11,336.437462597247,619.543387193297,18
11,336.966588511137,618.519929660023,19
12,376.24523339908,586.088099934254,17
12,380.288124594419,586.698896820247,18
12,385.12,586.036825396825,19
12,386.139147802929,585.574567243675,20
12,386.214330609679,586.551854179761,21
12,383.087698646262,587.664508534432,22
12,381.181707317073,590.231097560976,23
12,380.418825015793,591.231206569804,24
12,382.250165892502,592.629727936297,25
12,383.554539516656,592.47158719791,26
12,385.752610966057,591.419060052219,27
12,385.786788750818,592.408109875736,28
12,386.96,590.710666666667,29
12,387.081418253447,590.125410374261,30
12,388.435977514054,587.468457214241,31
12,390.802985074627,587.320597014925,32
12,392.346803377563,588.185162846803,33
12,395.001271455817,590.64589955499,34
12,396.176258992806,592.078537170264,35
12,394.716461628588,594.314001171646,36
12,392.751176470588,596.881176470588,37
12,392.79575596817,600.043103448276,38
12,393.445609436435,601.290956749672,39
12,394.538125,601.070625,40
12,397.104591836735,600.427933673469,41
12,397.901889092017,600.398537477148,42
12,401.66230529595,598.234267912773,43
12,402.032578685809,595.682495858642,44
12,402.096737907762,595.479190101237,45
12,399.805215540181,591.930282064928,46
12,398.1453125,590.0671875,47
12,398.748878923767,588.513203786746,48
12,400.373530914665,588.52427184466,49
12,404.133198789102,588.332492431887,50
12,405.237776634071,589.289758106022,51
12,407.244529019981,590.230256898192,52
12,406.393346379648,590.668297455969,53
12,405.632084534102,592.45437079731,54
12,406.758798686063,594.820741435946,55
12,410.180092592593,595.514814814815,56
12,413.486369536997,595.72046733016,57
12,416.579044969866,597.752897542884,58
12,417.458791208791,599.867216117216,59
12,418.659417137886,601.133536320139,60
