track_id,frame,cell_id
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
2,0,2
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,2
2,15,2
2,16,2
2,17,2
2,18,2
2,19,2
2,20,2
2,21,2
2,22,2
2,23,2
2,24,2
2,25,2
2,26,2
2,27,2
2,28,2
2,29,19
2,29,20
2,30,19
2,30,20
2,31,19
2,32,19
2,33,19
2,34,19
2,35,19
2,36,19
2,37,19
2,38,19
2,39,19
2,40,19
2,41,19
2,42,19
2,43,19
2,44,19
2,45,19
2,46,19
2,47,19
2,48,19
2,49,19
2,49,29
2,50,19
2,50,29
2,50,30
2,51,19
2,51,29
2,51,30
2,52,19
2,52,29
2,52,30
2,53,19
2,53,29
2,53,30
2,54,19
2,54,29
2,54,30
2,55,19
2,55,29
2,55,30
2,56,19
2,56,29
2,56,30
2,57,19
2,57,29
2,57,30
2,58,19
2,58,29
2,58,30
2,59,19
2,59,29
2,59,30
2,60,19
2,60,29
2,60,30
2,61,19
2,61,29
2,61,30
2,62,19
2,62,29
2,62,30
2,63,19
2,63,29
2,63,30
2,64,19
2,64,29
2,64,30
2,65,19
2,65,29
2,65,30
2,66,19
2,66,29
2,66,30
2,67,19
2,67,29
2,67,30
2,68,19
2,68,29
2,68,30
2,69,19
2,69,28
2,69,29
2,69,30
2,70,19
2,70,28
2,70,29
2,70,30
2,71,19
2,71,28
2,71,29
2,71,30
2,72,19
2,72,28
2,72,29
2,72,30
2,73,19
2,73,28
2,73,29
2,73,30
2,74,19
2,74,28
2,74,29
2,74,30
2,75,19
2,75,28
2,75,29
2,75,30
2,76,19
2,76,28
2,76,29
2,76,30
2,77,19
2,77,28
2,77,29
2,77,30
2,78,19
2,78,28
2,78,29
2,78,30
2,79,19
2,79,28
2,79,29
2,79,30
2,80,19
2,80,28
2,80,29
2,80,30
2,81,19
2,81,28
2,81,29
2,81,30
2,82,19
2,82,28
2,82,29
2,82,30
2,83,19
2,83,28
2,83,29
2,83,30
2,84,19
2,84,28
2,84,29
2,84,30
2,85,28
2,85,29
2,85,30
2,85,46
2,85,49
2,86,28
2,86,29
2,86,30
2,86,45
2,86,46
2,87,28
2,87,29
2,87,30
2,87,45
2,87,46
2,87,49
2,88,28
2,88,29
2,88,30
2,88,45
2,88,46
2,88,49
2,89,28
2,89,29
2,89,30
2,89,45
2,89,46
2,89,49
2,90,28
2,90,29
2,90,30
2,90,45
2,90,46
2,90,49
2,91,28
2,91,29
2,91,30
2,91,45
2,91,46
2,91,49
2,92,28
2,92,29
2,92,30
2,92,45
2,92,46
2,92,49
2,93,28
2,93,29
2,93,30
2,93,45
2,93,46
2,93,49
2,94,29
2,94,30
2,94,45
2,94,46
2,94,49
2,95,29
2,95,30
2,95,45
2,95,46
2,95,49
2,96,29
2,96,30
2,96,45
2,96,46
2,96,49
2,97,29
2,97,30
2,97,45
2,97,46
2,97,49
2,98,29
2,98,30
2,98,45
2,98,46
2,98,49
2,99,29
2,99,30
2,99,45
2,99,46
2,99,49
2,100,29
2,100,30
2,100,45
2,100,46
2,100,49
2,101,29
2,101,30
2,101,45
2,101,46
2,101,49
2,102,29
2,102,30
2,102,45
2,102,46
2,102,49
2,102,63
2,103,29
2,103,45
2,103,46
2,103,49
2,103,63
2,103,66
2,104,45
2,104,46
2,104,49
2,104,63
2,104,66
2,104,67
2,104,68
2,105,45
2,105,46
2,105,49
2,105,63
2,105,65
2,105,66
2,105,67
2,105,68
2,106,45
2,106,46
2,106,49
2,106,63
2,106,65
2,106,66
2,106,68
2,106,70
2,107,45
2,107,46
2,107,49
2,107,63
2,107,65
2,107,66
2,107,68
2,108,45
2,108,46
2,108,49
2,108,63
2,108,65
2,108,66
2,108,68
2,109,45
2,109,46
2,109,49
2,109,63
2,109,65
2,109,66
2,109,68
2,109,70
2,110,45
2,110,46
2,110,49
2,110,63
2,110,65
2,110,66
2,110,68
2,110,70
2,111,45
2,111,46
2,111,49
2,111,63
2,111,65
2,111,66
2,111,68
2,111,70
2,112,45
2,112,46
2,112,49
2,112,63
2,112,65
2,112,66
2,112,68
2,112,70
2,113,45
2,113,46
2,113,49
2,113,63
2,113,65
2,113,66
2,113,68
2,113,70
2,114,45
2,114,46
2,114,49
2,114,63
2,114,65
2,114,66
2,114,68
2,114,70
2,115,45
2,115,46
2,115,49
2,115,63
2,115,65
2,115,66
2,115,68
2,115,70
2,116,45
2,116,46
2,116,49
2,116,63
2,116,65
2,116,66
2,116,68
2,116,70
2,117,45
2,117,46
2,117,49
2,117,63
2,117,65
2,117,66
2,117,68
2,117,70
2,118,45
2,118,46
2,118,49
2,118,63
2,118,65
2,118,66
2,118,68
2,118,70
2,119,45
2,119,46
2,119,49
2,119,65
2,119,66
2,119,68
2,119,70
2,120,45
2,120,46
2,120,49
2,120,65
2,120,66
2,120,68
2,120,70
2,121,45
2,121,46
2,121,49
2,121,65
2,121,66
2,121,68
2,121,70
2,122,45
2,122,46
2,122,49
2,122,65
2,122,66
2,122,68
2,122,70
2,123,45
2,123,46
2,123,49
2,123,65
2,123,66
2,123,68
2,123,70
2,124,46
2,124,49
2,124,65
2,124,66
2,124,68
2,124,70
2,125,46
2,125,49
2,125,65
2,125,66
2,125,68
2,125,70
2,126,46
2,126,49
2,126,65
2,126,66
2,126,68
2,126,70
2,127,46
2,127,49
2,127,65
2,127,66
2,127,68
2,127,70
2,128,46
2,128,49
2,128,66
2,128,65
2,128,68
2,128,70
2,129,46
2,129,49
2,129,65
2,129,66
2,129,68
2,129,70
2,130,46
2,130,49
2,130,65
2,130,66
2,130,68
2,130,70
2,131,46
2,131,49
2,131,65
2,131,66
2,131,68
2,131,70
2,132,46
2,132,49
2,132,65
2,132,66
2,132,68
2,132,70
2,133,46
2,133,49
2,133,65
2,133,66
2,133,68
2,133,70
2,134,46
2,134,49
2,134,65
2,134,66
2,134,70
2,134,68
2,135,46
2,135,49
2,135,65
2,135,66
2,135,70
2,136,46
2,136,49
2,136,65
2,136,66
2,136,70
2,137,46
2,137,49
2,137,65
2,137,66
2,137,70
2,138,46
2,138,49
2,138,65
2,138,66
2,138,70
2,139,46
2,139,65
2,139,66
2,139,70
2,139,83
2,139,93
2,139,94
2,140,46
2,140,65
2,140,66
2,140,70
2,140,83
2,140,93
2,140,94
2,141,65
2,141,66
2,141,70
2,141,83
2,141,93
2,141,94
2,141,103
2,141,104
2,142,65
2,142,66
2,142,70
2,142,83
2,142,93
2,142,94
2,142,103
2,142,104
2,143,66
2,143,65
2,143,70
2,143,93
2,143,94
2,143,103
2,143,104
2,144,65
2,144,66
2,144,70
2,144,83
2,144,93
2,144,94
2,144,99
2,144,103
2,144,104
2,145,65
2,145,66
2,145,70
2,145,83
2,145,93
2,145,99
2,145,94
2,145,103
2,145,104
2,146,66
2,146,65
2,146,70
2,146,83
2,146,93
2,146,94
2,146,99
2,146,103
2,146,104
2,147,65
2,147,66
2,147,70
2,147,83
2,147,93
2,147,94
2,147,99
2,147,103
2,147,104
2,148,65
2,148,66
2,148,70
2,148,83
2,148,93
2,148,94
2,148,99
2,148,103
2,148,104
2,149,66
2,149,65
2,149,70
2,149,83
2,149,93
2,149,94
2,149,99
2,149,103
2,149,104
3,0,3
3,1,3
3,2,3
3,3,3
4,0,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
4,6,4
4,7,4
4,8,4
4,9,4
4,10,4
4,11,4
4,12,4
4,13,4
4,14,4
4,15,4
4,16,4
4,17,4
4,18,4
4,19,4
4,20,4
4,21,4
4,22,4
4,23,4
4,24,4
4,25,4
4,26,4
4,27,4
4,28,4
4,29,4
4,30,4
4,31,4
4,32,4
4,33,4
4,34,4
4,35,4
4,36,4
4,36,6
4,37,4
4,37,6
4,38,6
4,38,4
4,39,4
4,40,4
4,41,4
4,42,4
4,43,4
4,44,4
4,45,4
4,46,4
5,0,6
5,1,6
5,2,6
5,3,6
5,4,6
5,5,6
5,6,6
5,7,6
5,8,6
5,9,6
5,10,6
5,11,6
5,12,6
5,13,6
5,14,6
5,15,6
5,16,6
5,17,6
5,18,6
5,19,6
5,20,6
5,21,6
5,22,6
5,23,6
5,24,6
5,25,6
5,26,6
5,27,6
5,28,6
5,29,6
5,30,6
5,31,6
5,32,6
5,33,6
5,34,6
5,35,6
6,0,7
6,1,7
6,2,7
6,3,7
6,4,3
6,4,7
6,5,3
6,5,7
6,6,3
6,6,7
6,7,3
6,7,7
6,8,3
6,8,7
6,9,3
6,9,7
6,10,3
6,10,7
6,11,3
6,11,7
6,12,3
6,12,7
6,13,3
6,13,7
6,14,3
6,14,7
6,15,7
6,15,11
