id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,5.4483,620.16,87,31.046,0.93539,0.5,615.5,10,10,10,10
2,9.2414,599.07,58,24.819,0.93228,4.5,595.5,10,8,8,10
3,10.392,672.38,102,35.057,0.87845,6.5,665.5,8,14,14,8
4,19.479,352.1,328,67.204,0.83293,8.5,340.5,24,20,20,24
5,16.441,393.38,136,45.519,0.72176,10.5,384.5,12,19,19,12
6,16.977,749.38,128,38.936,0.90849,12.5,741.5,10,16,16,10
7,20.33,718.45,103,35.057,0.88706,14.5,713.5,12,10,10,12
8,23.5,700.96,54,24.678,0.8768,20.5,695.5,6,10,10,6
9,37.156,418,205,52.416,0.8346,26.5,411.5,20,14,14,20
10,83.637,43.637,91,31.319,0.96295,78.5,38.5,10,10,10,10
11,93.77,483.24,74,29.524,0.87149,88.5,479.5,10,8,8,10
12,106.63,546.32,71,27.399,0.95656,102.5,541.5,8,10,10,8
13,120.37,526.36,102,35.057,0.87845,116.5,519.5,8,14,14,8
14,132.54,135.62,154,42.906,0.91268,124.5,128.5,16,14,14,16
15,142.33,146.17,69,28.739,0.85311,136.5,142.5,12,8,8,12
16,159.56,9.7024,84,29.665,0.98077,154.5,4.5,10,10,10,10
17,169.47,758.55,87,29.938,0.9991,164.5,753.5,10,10,10,10
18,178.48,202.55,75,30.12,0.85189,172.5,198.5,12,8,8,12
19,186.33,350.33,55,23.479,0.9753,182.5,346.5,8,8,8,8
20,188.47,755.56,57,24.496,0.93774,184.5,751.5,8,8,8,8
21,232.61,485.7,54,23.297,0.97079,228.5,481.5,8,8,8,8
22,249.33,716.28,1363,131.99,0.93795,230.5,693.5,40,44,44,40
23,266.36,655.04,1169,121.7,0.94249,244.5,637.5,44,34,34,44
24,283.14,267.73,1179,124.02,0.91622,262.5,246.5,44,40,40,44
25,311.15,476.8,1360,132.16,0.93359,292.5,453.5,38,46,46,38
26,325.36,616.3,1931,157.63,0.9388,298.5,593.5,56,44,44,56
27,322.5,372.5,52,22.28,1,318.5,368.5,8,8,8,8
28,340.29,250.4,916,113.68,0.84339,322.5,230.5,40,36,36,40
29,337.3,74.329,76,29.615,0.89007,332.5,70.5,10,8,8,10
30,347.67,176.34,1002,116.69,0.87684,332.5,152.5,32,44,44,32
31,360.57,533.68,1252,128.44,0.90873,338.5,509.5,41,46,46,41
32,371.5,112.8,1479,143.25,0.86728,340.5,92.5,53,42,42,53
33,349.45,31.528,108,36.215,0.87619,344.5,24.5,10,14,14,10
34,404.13,588.33,1982,161.05,0.92383,377.5,563.5,54,50,50,54
35,393.5,185.5,48,23.156,0.87221,389.5,182.5,8,6,6,8
36,430.07,15.976,83,30.029,0.94794,425.5,10.5,10,10,10,10
37,510.43,345.77,88,33.635,0.81762,505.5,338.5,10,14,14,10
38,538.93,681.67,1849,157.43,0.90115,515.5,657.5,50,50,50,50
39,533,472.5,72,27.54,0.96114,527.5,467.5,10,10,10,10
40,557.39,734.54,1104,127.44,0.81367,541.5,709.5,32,50,50,32
41,601.62,761.49,114,35.198,0.97459,595.5,755.5,12,12,12,12
42,631.02,169.47,1375,132.01,0.94595,607.5,150.5,48,38,38,48
43,670,137.91,1217,126.78,0.90599,649.5,120.5,46,36,36,46
44,722.53,116.04,100,37.141,0.77442,715.5,110.5,14,10,10,14
