id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,12.219,607.07,736,98.894,0.88835,0.5,589.5,24,34,34,24
2,33.174,660.14,2344,173.24,0.94686,8.5,631.5,52,56,56,52
3,129.17,720.37,2239,172.48,0.9122,98.5,693.5,60,52,52,60
4,194.1,683.21,2670,205.17,0.77323,174.5,641.5,38,84,84,38
5,236.37,314.89,1938,155.84,0.96349,210.5,290.5,54,48,48,54
6,233.62,206.15,1951,159.37,0.92834,212.5,176.5,46,58,58,46
7,276.26,133.82,1857,154.26,0.94195,248.5,110.5,50,48,48,50
8,275.65,671.07,1815,155.74,0.90348,248.5,645.5,50,48,48,50
9,286.14,587.74,1348,131.61,0.93287,266.5,563.5,38,46,46,38
10,302.05,458.56,2941,192.28,0.96772,274.5,425.5,56,66,66,56
11,320.14,280.33,2268,172.72,0.9215,296.5,250.5,48,62,62,48
12,323.78,635.15,1326,131.23,0.92284,304.5,615.5,42,42,42,42
13,357.58,505.65,4874,263.45,0.86179,310.5,461.5,89,84,84,89
14,331.49,703.82,1188,126.01,0.89506,312.5,683.5,40,42,42,40
15,354.54,227.71,1184,122.5,0.94256,332.5,212.5,45,32,32,45
16,361.05,120.06,1633,141.26,0.98407,338.5,96.5,45,46,46,45
17,359.88,181.67,1006,112.76,0.94102,340.5,164.5,39,32,32,39
18,367.33,644.27,764,97.671,0.94466,354.5,627.5,27,34,34,27
19,438.13,579.08,8044,404.18,0.60926,366.5,533.5,141,88,88,141
20,414.09,54.546,1811,153.66,0.92561,391.5,32.5,48,48,48,48
21,417.41,175.12,1915,156.8,0.94069,391.5,150.5,48,48,48,48
22,420.69,648.91,942,110.62,0.91465,401.5,631.5,38,32,32,38
23,517.47,610.56,1326,131.6,0.91786,499.5,585.5,34,50,50,34
24,526.04,684.4,1546,139.78,0.95107,503.5,665.5,46,40,40,46
25,573.93,154.34,2468,180.06,0.92407,541.5,128.5,64,48,48,64
26,563.28,646.8,1093,119.97,0.90625,543.5,631.5,42,34,34,42
27,596.38,704.57,2442,175.84,0.95792,569.5,675.5,58,56,56,58
28,595.03,605.6,1124,119.35,0.94142,577.5,585.5,38,38,38,38
29,607.59,217.65,1817,155.43,0.90804,581.5,192.5,52,50,50,52
30,638.23,82.742,1741,152.02,0.90869,609.5,62.5,56,42,42,56
31,659.12,673.98,2659,186.08,0.93323,627.5,645.5,58,60,60,58
32,657.5,16.401,1571,148.48,0.85872,631.5,0.5,52,36,36,52
33,661.24,162.7,2203,166.94,0.95697,633.5,138.5,54,50,50,54
