id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,15.364,149.25,77,28.557,0.96299,10.5,144.5,10,10,10,10
2,248.65,713.96,1232,124.69,0.94744,228.5,697.5,42,34,34,42
3,263.22,660.61,1592,144.15,0.92214,244.5,633.5,40,52,52,40
4,301.95,272.54,1220,122.98,0.96384,284.5,250.5,34,44,44,34
5,342.97,508.88,2633,182.45,0.9606,308.5,481.5,65,52,52,65
6,329.01,615.22,1540,140.58,0.93694,308.5,589.5,38,50,50,38
7,338.23,143.96,2208,169.82,0.92747,310.5,116.5,54,56,56,54
8,334.93,234.09,1211,127.96,0.88545,318.5,212.5,32,46,46,32
9,385.79,592.41,1529,139.89,0.93919,366.5,569.5,39,48,48,39
10,465.22,286.99,95,34.966,0.82207,461.5,280.5,8,14,14,8
11,493.5,763.5,76,30.302,0.85388,487.5,759.5,12,8,8,12
12,509.49,745.27,90,37.141,0.69698,505.5,737.5,8,16,16,8
13,556.05,677.34,1720,149.08,0.93279,527.5,655.5,56,42,42,56
14,581.23,714.12,858,104.96,0.92269,563.5,697.5,36,32,32,36
15,642.76,157.04,2197,166.69,0.95716,615.5,134.5,54,48,48,54
16,649.5,19.128,1645,149.61,0.88599,623.5,0.5,50,38,38,50
