id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,28.262,605.06,1915,160.8,0.8954,0.5,583.5,56,42,42,56
2,37.015,667.97,2245,182.43,0.81926,8.5,631.5,52,68,68,52
3,121.06,726.42,2789,205.89,0.80208,82.5,701.5,78,50,50,78
4,197.01,657.32,1268,132.77,0.86261,172.5,635.5,46,40,40,46
5,193.66,701.75,1058,116.06,0.93563,176.5,681.5,34,40,40,34
6,204.54,226.5,1414,134.33,0.94019,184.5,202.5,40,46,46,40
7,240.74,321.19,2732,195.62,0.86899,214.5,286.5,50,72,72,50
8,248.31,183.03,1056,121.42,0.85534,234.5,160.5,30,48,48,30
9,258.13,124.88,1209,122.25,0.96627,238.5,106.5,42,36,36,42
10,261.17,699.94,921,109.51,0.91194,240.5,685.5,42,28,28,42
11,294.07,633.58,4546,261.9,0.81321,244.5,603.5,100,66,66,100
12,279.43,559.12,1199,133.37,0.80848,264.5,531.5,30,54,54,30
13,305.43,448.68,2221,169.02,0.94165,276.5,423.5,58,52,52,58
14,310.93,259.13,1267,131.45,0.87895,288.5,238.5,44,42,42,44
15,329.62,137.08,2714,195.01,0.86859,292.5,110.5,74,54,54,74
16,308.25,315.92,1179,127.88,0.86304,292.5,292.5,30,48,48,30
17,317.69,717.97,1127,121.07,0.91797,300.5,697.5,36,42,42,36
18,330.87,534.47,1664,144.76,0.95589,306.5,509.5,48,46,46,48
19,348.48,183.11,992,112.91,0.92567,330.5,164.5,39,34,34,39
20,370,475.64,2481,178.56,0.9443,340.5,449.5,57,58,58,57
21,365.95,231.04,1373,130.58,0.96492,344.5,212.5,45,38,38,45
22,362.7,655.29,841,101.19,0.97097,344.5,641.5,37,28,28,37
23,447.4,585,11511,514.13,0.5406,354.5,535.5,179,106,106,179
24,388.79,122.95,1381,135.08,0.90839,371.5,98.5,34,52,52,34
25,410.68,198.93,1330,130.16,0.9406,393.5,174.5,36,50,50,36
26,423.14,35.146,2009,160.78,0.93953,397.5,8.5,52,52,52,52
27,435.72,660.53,1388,132.36,0.95003,413.5,639.5,46,38,38,46
28,449.94,138.86,976,112.13,0.92306,433.5,118.5,30,42,42,30
29,510.69,682.33,1123,120.36,0.92516,495.5,659.5,30,46,46,30
30,536.86,725.24,1345,134.11,0.89722,517.5,699.5,38,50,50,38
31,556.84,149.12,2622,183.43,0.94653,525.5,120.5,64,58,58,64
32,555.02,652.47,1042,121.85,0.83809,537.5,627.5,32,46,46,32
33,596.49,709.82,2818,205.52,0.81336,565.5,669.5,62,74,74,62
34,613.38,213.05,2359,176.45,0.91907,583.5,184.5,60,56,56,60
35,613.19,597.62,1448,139.44,0.89511,593.5,573.5,44,44,44,44
36,643.55,70.9,2049,164.73,0.91373,613.5,50.5,60,44,44,60
37,661.96,161.44,2435,176.8,0.94501,629.5,136.5,62,54,54,62
38,653.61,667.13,1364,129.45,0.97493,633.5,645.5,40,42,42,40
39,665.07,15.151,1229,133.78,0.82382,639.5,0.5,50,32,32,50
40,677.18,704.35,1132,118,0.96933,657.5,685.5,38,40,40,38
