id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,24.344,78.656,61,25.877,0.91031,20.5,74.5,8,8,8,8
2,257.27,721.54,2354,173.46,0.94848,232.5,691.5,50,64,64,50
3,316.48,261.88,2661,185.07,0.94396,286.5,230.5,62,60,60,62
4,314.76,131.3,1895,155.05,0.9516,292.5,104.5,46,54,54,46
5,365.52,497.94,2805,186.93,0.97566,334.5,467.5,61,58,58,61
6,362.31,606.02,1830,155.06,0.91878,340.5,581.5,43,50,50,43
7,357.08,160.7,60,24.91,0.95818,352.5,156.5,10,8,8,10
8,409.15,762.89,110,37.373,0.84213,401.5,757.5,16,10,10,16
9,460.41,84.389,95,36.215,0.77072,451.5,80.5,16,8,8,16
10,572.22,676.41,2267,168.66,0.96515,547.5,647.5,48,58,58,48
11,683.79,54.543,2199,165.42,0.97256,657.5,30.5,54,48,48,54
12,694.12,173.18,2427,173.56,0.97678,665.5,144.5,54,58,58,54
13,727.74,601.51,72,28.739,0.8902,721.5,597.5,12,8,8,12
