id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,13.286,599.99,954,118.63,0.8085,0.5,577.5,32,42,42,32
2,48.359,670.73,2303,171.9,0.9445,24.5,641.5,52,58,58,52
3,156.26,723.75,1892,155.03,0.95028,134.5,697.5,46,54,54,46
4,220.28,725.94,2371,181.8,0.87106,194.5,691.5,52,68,68,52
5,241.06,301.31,1699,143.97,0.98655,218.5,278.5,46,46,46,46
6,258.48,218.43,1435,135.87,0.93315,236.5,198.5,44,44,44,44
7,265.67,669.1,1470,138.91,0.9155,244.5,649.5,46,42,42,46
8,296.08,456.18,2304,171.71,0.94703,266.5,427.5,60,52,52,60
9,301.06,157.27,1127,120.35,0.92869,278.5,142.5,44,32,32,44
10,302.62,611.54,787,104.26,0.85731,284.5,593.5,36,34,34,36
11,317.6,270.45,1911,156.65,0.94046,288.5,250.5,56,42,42,56
12,311.86,648.67,488,80.411,0.87844,298.5,635.5,26,26,26,26
13,333.16,668.56,2251,178.16,0.86051,304.5,633.5,52,62,62,52
14,329.44,515.47,1508,139.7,0.92876,308.5,493.5,44,46,46,44
15,338.58,221.67,1356,131.55,0.93932,314.5,204.5,46,36,36,46
16,350.62,113.89,1680,147.26,0.93328,324.5,90.5,51,44,44,51
17,332.81,189.91,97,32.386,0.96572,326.5,184.5,12,10,10,12
18,359.37,585.65,1365,133.71,0.91586,342.5,561.5,35,48,48,35
19,377.95,500.99,1641,144.02,0.95224,354.5,477.5,47,46,46,47
20,402.27,175.03,1879,155.78,0.93494,371.5,154.5,58,42,42,58
21,399.47,664.87,1545,140.04,0.94704,379.5,643.5,42,44,44,42
22,387.13,579.55,91,31.46,0.95512,381.5,573.5,10,12,12,10
23,404.34,78.721,1471,160.95,0.68653,383.5,54.5,40,48,48,40
24,429.44,590.47,2085,161.91,0.96174,405.5,563.5,46,56,56,46
25,483.18,624.67,1778,146.76,0.99427,459.5,601.5,48,46,46,48
26,528.16,673.13,1151,119.85,0.95614,507.5,655.5,42,36,36,42
27,564.21,602.6,1898,158.19,0.91634,537.5,579.5,54,46,46,54
28,581.48,153.66,1963,158.19,0.94772,555.5,130.5,54,46,46,54
29,590.74,695.59,1612,146.33,0.90666,565.5,677.5,52,38,38,52
30,607.57,209.65,1487,137.5,0.94467,583.5,188.5,50,42,42,50
31,645.77,12.909,958,114.62,0.86804,625.5,0.5,40,28,28,40
32,650.6,81.355,1603,145.37,0.91327,629.5,56.5,46,50,50,46
33,659.95,668.23,1873,158.67,0.89889,631.5,639.5,54,52,52,54
34,702.66,83.389,1904,157.46,0.92759,677.5,56.5,46,54,54,46
