id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,7.1471,609.06,340,69.502,0.80964,0.5,595.5,14,26,26,14
2,9.0422,646.31,521,85.828,0.82711,0.5,629.5,20,32,32,20
3,197.6,730.08,1902,161.17,0.88529,176.5,701.5,42,60,60,42
4,266.93,646.7,1978,159.98,0.93414,238.5,619.5,54,52,52,54
5,295.03,467.63,2549,183,0.92445,266.5,439.5,58,54,54,58
6,289.7,281.97,1844,157.12,0.90216,270.5,252.5,38,60,60,38
7,330.31,679.28,2003,158.31,0.96562,304.5,651.5,52,54,54,52
8,338.82,243.15,2372,179.41,0.89441,312.5,212.5,52,64,64,52
9,348.88,159.17,1810,152.85,0.93473,322.5,138.5,55,42,42,55
10,376.27,545.04,2242,168.08,0.96098,350.5,519.5,53,52,52,53
11,387.71,99.695,1981,163.35,0.89803,356.5,74.5,57,48,48,57
12,393.07,653.86,1248,123.39,0.97952,375.5,631.5,36,44,44,36
13,413.93,599.54,1306,132.17,0.89631,393.5,575.5,36,48,48,36
14,455.84,608.34,1344,128.57,0.97359,435.5,589.5,42,38,38,42
15,537.29,650.56,2070,162.13,0.95232,509.5,623.5,52,52,52,52
16,532.62,8.6913,311,64.581,0.85212,521.5,0.5,20,18,18,20
17,566.76,7.7843,204,49.497,0.92519,559.5,0.5,16,16,16,16
18,611.65,665.74,2625,181.94,0.96293,583.5,637.5,56,58,58,56
19,615.93,161.03,1179,133.5,0.79346,601.5,134.5,28,54,54,28
20,647.16,88.861,1698,146.73,0.94997,625.5,62.5,40,52,52,40
