id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,7.034,585.1,324,66.467,0.84029,0.5,571.5,14,26,26,14
2,9.11,641.8,682,104.1,0.74514,0.5,621.5,18,42,42,18
3,228.64,733.04,1746,148.43,0.95498,204.5,709.5,50,44,44,50
4,263.54,643.52,2070,163.77,0.93374,234.5,619.5,54,48,48,54
5,293.3,270.45,1937,158.67,0.92961,268.5,242.5,50,56,56,50
6,305.02,461.51,1305,129.45,0.93286,282.5,441.5,44,42,42,44
7,346.61,163.84,1825,153.65,0.93286,318.5,140.5,55,44,44,55
8,345.84,229.42,1359,133.84,0.91019,320.5,214.5,49,32,32,49
9,346.72,645.26,2070,162.04,0.95338,320.5,619.5,51,52,52,51
10,374.24,546.45,1658,145.96,0.93717,348.5,521.5,47,48,48,47
11,398.48,89.931,2112,171.34,0.87176,366.5,62.5,57,50,50,57
12,425.66,616.94,1884,153.02,0.97088,399.5,591.5,50,50,50,50
13,543.5,650.96,2262,168.01,0.97039,517.5,623.5,54,52,52,54
14,602.1,672.8,2627,183.2,0.95069,575.5,639.5,54,66,66,54
15,620.98,152.32,1167,130.26,0.824,597.5,132.5,44,42,42,44
16,654.25,106.41,1028,115.32,0.92055,637.5,84.5,34,40,40,34
