id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,24.206,650.42,1450,139.6,0.89426,4.5,625.5,40,54,54,40
2,185.86,742.79,1580,142.51,0.93589,166.5,719.5,42,50,50,42
3,203.88,697.48,964,110.8,0.93302,182.5,683.5,40,30,30,40
4,247.98,657.08,1397,139.5,0.86278,220.5,639.5,52,38,38,52
5,238.69,705.82,282,57.428,0.96594,230.5,695.5,16,20,20,16
6,254.09,301.33,1523,137.62,0.96598,234.5,276.5,40,48,48,40
7,266.08,246.22,1610,146.05,0.90894,242.5,226.5,50,44,44,50
8,289.4,461.99,2027,158.66,0.97301,262.5,435.5,52,52,52,52
9,313.34,641.8,4093,246.64,0.8244,276.5,593.5,76,92,92,76
10,306.67,157.88,924,107.38,0.95058,290.5,140.5,34,32,32,34
11,308.52,262.88,162,44.146,0.9104,302.5,254.5,12,16,16,12
12,320.94,513.98,1234,125.87,0.93165,304.5,493.5,34,42,42,34
13,316.68,600.74,134,38.374,0.97699,310.5,593.5,12,14,14,12
14,330.78,256.46,1123,124.38,0.86787,314.5,234.5,32,46,46,32
15,334.42,210.27,930,106.88,0.96555,318.5,194.5,32,32,32,32
16,360.76,113.66,1618,147.31,0.89826,342.5,86.5,39,54,54,39
17,367.99,575.13,1410,130.76,0.98823,348.5,553.5,41,42,42,41
18,376.23,180.31,1185,121.68,0.95576,354.5,162.5,43,38,38,43
19,373.67,513.81,1406,135.41,0.92042,354.5,491.5,43,42,42,43
20,383.69,75.232,1482,137,0.94831,364.5,48.5,39,50,50,39
21,401.32,654.43,1283,128.69,0.92773,381.5,631.5,38,48,48,38
22,410.84,596.78,899,109.28,0.89383,397.5,575.5,26,42,42,26
23,438.42,603.5,231,52.218,0.94719,431.5,593.5,14,20,20,14
24,474.3,626.34,1387,131.65,0.95927,453.5,607.5,42,40,40,42
25,532.82,686.54,1071,117.17,0.92976,515.5,667.5,36,38,38,36
26,592.18,675.2,1945,154.67,0.98141,567.5,649.5,50,50,50,50
27,587.68,613.81,864,102.86,0.96633,573.5,595.5,30,36,36,30
28,605.02,172.7,2062,163.21,0.93633,577.5,144.5,54,52,52,54
29,651.51,647.24,1474,139.92,0.90499,633.5,623.5,40,48,48,40
30,674.27,68.547,1964,157.12,0.96096,647.5,44.5,56,46,46,56
