id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,7.5,600.5,54,24.678,0.8768,4.5,595.5,6,10,10,6
2,12.111,620.07,208,48.662,0.97399,4.5,611.5,16,16,16,16
3,48.848,669.46,2735,184.52,0.97588,20.5,639.5,56,58,58,56
4,141.45,721.34,1609,139.68,0.99118,118.5,697.5,44,46,46,44
5,199.44,680.24,2466,189.44,0.83559,176.5,641.5,42,76,76,42
6,236.05,202.55,1988,160.72,0.93036,210.5,172.5,50,56,56,50
7,231.95,314.13,1766,147.52,0.97763,210.5,288.5,44,50,50,44
8,273.79,143.62,1772,150.73,0.94047,250.5,122.5,46,44,44,46
9,275.66,670.56,1740,154.45,0.88038,252.5,643.5,46,52,52,46
10,292.75,459.89,2860,189.54,0.96808,266.5,429.5,54,62,62,54
11,328.24,620.46,5219,291.55,0.75519,276.5,573.5,107,84,84,107
12,315.74,270.56,2077,161.63,0.9613,288.5,242.5,52,54,54,52
13,355.45,508.39,4228,245.12,0.86202,310.5,473.5,89,72,72,89
14,337.43,701.44,983,116.06,0.8693,314.5,687.5,44,30,30,44
15,354.22,206.37,1902,160.05,0.89746,334.5,178.5,39,58,58,39
16,361.43,124.5,1723,148.69,0.93923,336.5,100.5,47,46,46,47
17,386.59,581.92,1461,137.49,0.92829,360.5,563.5,49,38,38,49
18,409.49,168.91,2163,165.02,0.96115,381.5,142.5,56,52,52,56
19,397.47,548.43,171,44.56,0.94437,389.5,541.5,16,14,14,16
20,418.99,55.938,1852,155.76,0.92169,391.5,32.5,56,44,44,56
21,410.16,640.91,1064,115.97,0.94237,393.5,621.5,38,36,36,38
22,445.71,584.55,2090,169.13,0.88501,423.5,555.5,48,62,62,48
23,503.73,607.64,2062,170.25,0.86187,471.5,589.5,66,38,38,66
24,531.4,672.04,1599,140.66,0.9717,507.5,649.5,48,44,44,48
25,577.9,148.01,2379,179.6,0.89526,545.5,122.5,66,50,50,66
26,575.42,619.21,1604,143.75,0.93413,549.5,597.5,48,42,42,48
27,591.01,706.31,2515,178.57,0.95713,559.5,677.5,64,56,56,64
28,605.55,211.82,1651,145.42,0.93998,579.5,190.5,52,40,40,52
29,637.16,88.359,1549,146.98,0.86375,609.5,66.5,52,42,42,52
30,676.94,133.78,2222,171.94,0.91093,643.5,108.5,62,50,50,62
31,674.3,670,2891,196.13,0.91491,643.5,641.5,60,64,64,60
