id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,19.236,649.9,1596,153.93,0.81296,0.5,617.5,36,64,64,36
2,8.6338,604.32,71,27.399,0.95656,4.5,599.5,8,10,10,8
3,180.93,741.12,1613,141.83,0.96439,162.5,717.5,40,48,48,40
4,203.54,696.76,868,105,0.93274,184.5,683.5,38,28,28,38
5,243.97,654.92,1373,138.13,0.86451,216.5,637.5,54,34,34,54
6,249.84,303.17,1560,140.05,0.95612,228.5,280.5,44,46,46,44
7,238.07,708.59,298,59.876,0.94298,230.5,697.5,16,22,22,16
8,266,241.51,1582,146.18,0.89155,244.5,222.5,48,44,44,48
9,288.58,459.49,1958,156.77,0.96219,264.5,433.5,50,52,52,50
10,286.54,617.82,874,112.75,0.81779,270.5,595.5,30,40,40,30
11,304.48,158.97,947,108.95,0.94711,286.5,140.5,36,34,34,36
12,328.43,657.54,2639,184.38,0.9431,298.5,625.5,60,64,64,60
13,325.31,515.85,1321,129.68,0.94103,308.5,493.5,34,46,46,34
14,328.87,260.1,981,116.06,0.86753,314.5,238.5,30,44,44,30
15,333.03,210.57,964,108.36,0.97444,316.5,194.5,34,34,34,34
16,359.61,118.26,1571,145.79,0.89008,342.5,90.5,37,54,54,37
17,373.39,574.84,1486,137.13,0.94908,352.5,553.5,45,42,42,45
18,376.7,177.49,1048,114.87,0.9457,356.5,160.5,39,36,36,39
19,377.68,511.67,1672,148.74,0.91083,356.5,485.5,47,48,48,47
20,383.5,72.18,1432,134.53,0.94941,364.5,46.5,39,48,48,39
21,402.56,653.5,1336,129.99,0.9472,381.5,631.5,40,46,46,40
22,409.12,594.3,820,104.44,0.89039,395.5,573.5,26,40,40,26
23,436.52,604.36,245,53.012,0.97638,427.5,595.5,18,18,18,18
24,478.53,626.74,1518,136.92,0.97237,457.5,601.5,42,48,48,42
25,531.19,683.23,1145,122.46,0.91211,511.5,665.5,40,36,36,40
26,557.63,594.84,104,34.131,0.94073,551.5,589.5,12,10,10,12
27,597.46,173.7,2655,187.39,0.91907,565.5,144.5,66,60,60,66
28,593.67,674.63,1934,155.88,0.96109,567.5,647.5,52,52,52,52
29,585.62,612.87,767,97.795,0.94604,573.5,595.5,26,36,36,26
30,655.21,650.16,1710,152.09,0.89178,635.5,623.5,44,48,48,44
31,680.87,64.887,2205,174.88,0.87433,649.5,44.5,64,40,40,64
