id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,26.188,652.48,1357,138.68,0.84779,6.5,627.5,42,48,48,42
2,174.25,739.42,1672,144.96,0.95791,152.5,715.5,44,50,50,44
3,205.86,700.74,1033,117.25,0.89565,186.5,685.5,38,36,36,38
4,249.96,656.12,1259,133.7,0.84494,226.5,637.5,50,36,36,50
5,252.64,304.82,1476,135.25,0.96845,232.5,284.5,40,42,42,40
6,240.8,712.08,305,62.597,0.88689,232.5,699.5,16,24,24,16
7,271.18,229.88,1137,122.05,0.9116,254.5,208.5,38,40,40,38
8,280.27,624.66,774,104.17,0.84458,264.5,605.5,32,38,38,32
9,294.52,456.04,2060,161.27,0.95766,268.5,429.5,54,52,52,54
10,297.69,264.76,233,53.235,0.92123,290.5,254.5,14,20,20,14
11,310.56,158.82,883,104.07,0.96532,294.5,142.5,34,32,32,34
12,336.15,659.34,2756,186.16,0.96641,306.5,627.5,60,62,62,60
13,329.96,510.43,1431,134.52,0.94885,308.5,485.5,42,48,48,42
14,326.43,261.11,1134,125.69,0.85857,310.5,238.5,30,46,46,30
15,338.42,213.23,987,110.11,0.96703,320.5,194.5,36,36,36,36
16,356.26,113.12,1375,138.85,0.85704,338.5,84.5,35,54,54,35
17,388.98,584.84,3177,211.69,0.86501,352.5,557.5,75,60,60,75
18,385.48,514.82,1692,148.14,0.9291,364.5,491.5,47,46,46,47
19,386.52,71.224,1387,134.29,0.92278,368.5,46.5,39,46,46,39
20,386.21,180.75,1175,120.27,0.96941,368.5,160.5,35,42,42,35
21,408.58,660.82,1430,135.47,0.93535,391.5,637.5,36,48,48,36
22,435.54,604.46,243,52.4,0.98987,427.5,595.5,16,18,18,16
23,483.49,632.39,1681,144.08,0.97457,461.5,609.5,44,46,46,44
24,525.53,680.76,1176,126.09,0.8849,503.5,661.5,44,40,40,44
25,519.11,6.0117,257,60.554,0.79602,507.5,0.5,24,12,12,24
26,584.2,158.05,1732,148.33,0.94858,561.5,132.5,44,52,52,44
27,584.22,618.86,753,97.249,0.9389,571.5,601.5,26,36,36,26
28,596.73,680.84,2000,158.64,0.96024,571.5,653.5,52,52,52,52
29,599.54,207.86,1422,134.42,0.94426,575.5,188.5,48,38,38,48
30,647.06,6.5986,279,62.258,0.81972,635.5,0.5,24,14,14,24
31,685.06,72.415,3410,216.99,0.88428,645.5,48.5,80,50,50,80
