id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,9.035,631.65,628,98.53,0.76343,0.5,611.5,20,38,38,20
2,245.31,718.16,1476,135.76,0.9613,224.5,693.5,42,46,46,42
3,262.89,656.35,1606,143.41,0.93972,238.5,633.5,48,44,44,48
4,293.16,270.01,1450,138.41,0.90939,272.5,244.5,40,50,50,40
5,307.76,470.92,1232,127.56,0.90627,286.5,449.5,40,44,44,40
6,331.39,634.23,2328,170.55,0.96972,304.5,609.5,56,52,52,56
7,337.06,243.14,1404,136.78,0.90116,316.5,220.5,46,42,42,46
8,346.07,158.02,1513,142.78,0.89294,324.5,132.5,42,54,54,42
9,359.13,531.13,1000,117.79,0.85924,346.5,507.5,27,46,46,27
10,385.88,101.35,1365,131.89,0.94069,360.5,80.5,45,40,40,45
11,418.66,601.13,2299,170.23,0.96111,391.5,573.5,56,54,54,56
12,543.25,670.58,1996,160.32,0.93876,519.5,643.5,50,50,50,50
13,578.76,718.28,959,117.59,0.82673,565.5,695.5,26,46,46,26
14,602.51,725.1,184,47.884,0.88808,593.5,719.5,18,12,12,18
15,629.38,166.89,1331,132.75,0.90569,607.5,144.5,40,46,46,40
16,690.85,147.69,1200,122.05,0.96211,671.5,128.5,38,40,40,38
