id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,62.073,16.218,55,24.455,0.90753,56.5,12.5,10,8,8,10
2,88.05,161.74,121,37.175,0.93547,82.5,154.5,12,14,14,12
3,93.324,16.366,71,27.399,0.95656,88.5,12.5,10,8,8,10
4,124.18,10.537,82,31.046,0.88163,120.5,4.5,8,12,12,8
5,190.74,559.74,125,36.852,0.98206,184.5,553.5,12,12,12,12
6,212.05,294.41,64,26.291,0.9284,206.5,290.5,10,8,8,10
7,231.28,528.61,57,25.877,0.85061,226.5,525.5,10,6,6,10
8,240.5,397.83,58,24.678,0.94175,236.5,393.5,8,8,8,8
9,261.69,644.61,1259,126.82,0.93667,238.5,627.5,46,34,34,46
10,256.24,708.59,1321,129.49,0.94361,238.5,687.5,38,42,42,38
11,262.75,77.662,77,29.103,0.93065,258.5,72.5,10,10,10,10
12,274.27,218.93,105,35.198,0.89764,266.5,214.5,14,10,10,14
13,286.14,273.05,1100,121.54,0.8892,268.5,250.5,38,42,42,38
14,311.57,472.42,1746,151.3,0.91992,286.5,447.5,50,48,48,50
15,325.34,611.98,2057,166.68,0.89633,298.5,589.5,58,50,50,58
16,336.96,249.26,1296,132.61,0.88379,316.5,224.5,44,44,44,44
17,339.66,164.47,1042,121.52,0.84256,322.5,142.5,34,44,44,34
18,358.58,526.81,1283,130.95,0.89667,340.5,501.5,37,46,46,37
19,374.62,99.879,1238,130.43,0.87198,350.5,78.5,43,38,38,43
20,405.63,592.45,2082,164.98,0.92569,381.5,563.5,52,56,56,52
21,403.4,132.13,52,23.206,0.94131,399.5,128.5,8,8,8,8
22,426.28,185.13,144,43.22,0.84189,417.5,178.5,16,12,12,16
23,439.67,439.67,55,23.479,0.9753,435.5,435.5,8,8,8,8
24,449.77,80.865,52,23.206,0.94131,445.5,76.5,8,8,8,8
25,449.45,682.47,73,28.416,0.92114,445.5,677.5,8,10,10,8
26,476.46,365.34,112,37.414,0.85571,469.5,360.5,14,10,10,14
27,480.31,652.24,108,35.289,0.91892,473.5,647.5,14,10,10,14
28,493.67,331.72,57,25.183,0.89281,489.5,326.5,8,10,10,8
29,540.93,672.63,1853,156.63,0.9122,515.5,645.5,50,50,50,50
30,537.37,396.48,92,33.858,0.84451,533.5,389.5,8,14,14,8
31,568.09,730.58,1704,159.38,0.81065,545.5,707.5,52,52,52,52
32,628.15,170.08,1414,135.86,0.91971,607.5,148.5,44,44,44,44
33,633.48,391.26,254,68.288,0.62559,623.5,378.5,22,25,25,22
34,655.34,555.65,80,29.847,0.92379,651.5,549.5,8,12,12,8
35,685.31,149.66,1402,134.37,0.93165,663.5,132.5,46,38,38,46
36,706.61,105.28,57,25.877,0.85061,703.5,100.5,6,10,10,6
