id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,8.2131,631.39,596,98.332,0.72736,0.5,611.5,18,40,40,18
2,79.917,177.08,84,30.211,0.94892,74.5,172.5,10,10,10,10
3,97.255,183.63,51,23.479,0.90437,92.5,180.5,10,6,6,10
4,245.74,717.6,1458,134.04,0.97353,224.5,695.5,42,44,44,42
5,262.43,653.83,1695,148.27,0.92912,238.5,631.5,50,44,44,50
6,292.35,267.19,1458,138.54,0.9127,272.5,242.5,40,48,48,40
7,308.15,472.8,1222,128.06,0.89213,288.5,451.5,36,46,46,36
8,332.27,631.63,2174,165.72,0.95812,306.5,607.5,54,52,52,54
9,338.07,242.85,1349,134.19,0.8989,316.5,220.5,46,42,42,46
10,343.85,157.28,1513,142.13,0.9009,320.5,134.5,44,48,48,44
11,379.49,104.22,1658,159.48,0.78781,344.5,80.5,59,42,42,59
12,360.83,530.13,1099,125.4,0.83583,348.5,505.5,27,48,48,27
13,417.46,599.87,2184,166.43,0.95446,389.5,575.5,58,48,48,58
14,463.68,398.2,66,27.308,0.89452,459.5,393.5,8,10,10,8
15,543.45,671.92,1933,157.27,0.94404,519.5,645.5,50,50,50,50
16,580.53,723.25,1382,164.83,0.61556,557.5,699.5,50,46,46,50
17,629.27,166.21,1459,139.9,0.89607,605.5,142.5,42,50,50,42
18,692.93,150.3,1182,121.32,0.9588,673.5,132.5,40,38,38,40
