id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,71.5,629.5,54,23.984,0.92224,66.5,625.5,10,8,8,10
2,128.36,445.33,64,29.119,0.77276,124.5,439.5,8,12,12,8
3,194.87,561.6,52,23.206,0.94131,190.5,557.5,8,8,8,8
4,234.27,175.56,104,37.191,0.8034,228.5,168.5,12,14,14,12
5,254.92,708.07,1276,126.45,0.95476,234.5,687.5,42,42,42,42
6,264.97,648.83,1267,126.85,0.94226,244.5,629.5,42,36,36,42
7,284.48,271.4,957,112.67,0.89658,266.5,252.5,38,34,34,38
8,309.3,469.55,1288,128.34,0.93629,288.5,447.5,42,44,44,42
9,324.75,611.98,2124,167.98,0.91145,296.5,589.5,60,48,48,60
10,333.68,245.51,1199,128.38,0.87105,316.5,220.5,36,48,48,36
11,343.09,168.73,879,109.89,0.86451,328.5,148.5,30,40,40,30
12,355.4,527.16,1221,127.06,0.90504,334.5,503.5,37,46,46,37
13,351.71,49.182,110,35.76,0.91341,346.5,42.5,10,14,14,10
14,373.78,103.11,1331,134.36,0.88468,350.5,78.5,41,46,46,41
15,406.39,590.67,2044,163.65,0.92328,381.5,563.5,52,54,54,52
16,447.55,227.64,91,31.46,0.95512,441.5,222.5,12,10,10,12
17,463.93,543.83,76,29.847,0.8776,457.5,539.5,12,8,8,12
18,491.5,332.5,52,22.28,1,487.5,328.5,8,8,8,8
19,541.82,678.55,2018,162.21,0.92748,515.5,649.5,52,54,54,52
20,568.41,730.97,1904,162.79,0.869,543.5,705.5,54,52,52,54
21,573.26,601.65,54,23.297,0.97079,569.5,597.5,8,8,8,8
22,628.13,169.15,1349,132.74,0.91818,607.5,148.5,42,42,42,42
23,680.92,147.16,1593,144.35,0.92024,657.5,128.5,52,40,40,52
24,691.78,756.43,68,27.126,0.93275,687.5,751.5,8,10,10,8
