id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,249.13,724.74,1348,132.12,0.92582,232.5,699.5,36,46,46,36
2,270.89,660.43,1571,143.55,0.91739,244.5,641.5,50,40,40,50
3,293.85,263.68,1182,122.95,0.93419,276.5,240.5,36,44,44,36
4,323.99,479.26,1525,141.32,0.91828,300.5,457.5,44,44,44,44
5,329.75,243.78,1167,125.24,0.88971,312.5,220.5,34,46,46,34
6,336.72,184.9,1052,114.32,0.95817,318.5,166.5,38,36,36,38
7,341.17,624.3,1352,133.88,0.90494,318.5,605.5,48,38,38,48
8,355.11,530.88,1305,127.67,0.95839,334.5,507.5,41,44,44,41
9,370.67,121.3,1549,144.14,0.89733,342.5,100.5,51,44,44,51
10,401.66,598.23,1605,147.99,0.88307,373.5,581.5,52,38,38,52
11,555.46,668.74,1891,155.47,0.94455,531.5,643.5,50,48,48,50
12,571.8,740.67,1757,150.77,0.9321,543.5,719.5,56,42,42,56
13,644.93,144.57,1927,154.59,0.97337,619.5,122.5,50,46,46,50
