id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,36.355,657.15,1372,140.92,0.8307,20.5,633.5,34,54,54,34
2,167.52,736.43,1702,146.22,0.95875,146.5,711.5,44,50,50,44
3,226.3,709.16,2102,170.75,0.87357,200.5,679.5,52,58,58,52
4,244.9,298.12,1662,143.84,0.9668,220.5,276.5,48,46,46,48
5,267.66,666.9,1358,136.44,0.87587,246.5,649.5,48,38,38,48
6,275.65,221.75,1232,127.33,0.9095,256.5,196.5,36,46,46,36
7,299.05,452.38,2198,167.6,0.94741,272.5,427.5,56,52,52,56
8,305.6,155.02,983,112.07,0.93063,288.5,138.5,34,38,38,34
9,319.73,266.7,2030,161.82,0.93748,288.5,242.5,58,48,48,58
10,298.45,617.74,582,87.78,0.88471,288.5,599.5,22,34,34,22
11,328.55,660.6,2897,192.91,0.94715,300.5,627.5,54,64,64,54
12,353.27,508.82,3706,230.93,0.85001,306.5,483.5,89,50,50,89
13,340.67,221.9,1099,117.54,0.94832,318.5,206.5,42,32,32,42
14,334.1,190.64,109,36.852,0.85636,326.5,186.5,16,8,8,16
15,356.56,112.76,1429,138.14,0.89958,332.5,92.5,47,40,40,47
16,363.61,574.76,1365,131.81,0.94183,342.5,551.5,43,46,46,43
17,394.18,178.62,1570,143.95,0.91185,366.5,158.5,53,42,42,53
18,392.11,71.771,1662,145.65,0.9434,368.5,46.5,49,48,48,49
19,381.5,592.5,108,34.04,0.9817,375.5,587.5,12,10,10,12
20,402.01,663.52,1584,142.26,0.94146,381.5,639.5,40,50,50,40
21,422.72,593.76,2009,161.55,0.93076,397.5,565.5,52,58,58,52
22,479.76,634.25,1779,146.91,0.99287,457.5,609.5,44,48,48,44
23,509.15,7.6279,387,73.472,0.82853,495.5,0.5,28,16,16,28
24,523.11,678.89,1025,114.21,0.93528,501.5,663.5,40,34,34,40
25,543.34,612.63,97,33.023,0.932,537.5,607.5,12,10,10,12
26,576.79,156.45,1844,153.74,0.94147,553.5,130.5,48,52,52,48
27,576.32,607.51,1009,112.54,0.94745,557.5,589.5,36,38,38,36
28,591.71,685.27,1698,147.63,0.93865,565.5,663.5,52,42,42,52
29,597.95,212.47,1387,134.24,0.92346,573.5,194.5,50,36,36,50
30,648.14,8.2337,505,86.208,0.79491,631.5,0.5,34,18,18,34
31,652.92,660.6,1664,150.86,0.88164,631.5,633.5,44,50,50,44
32,680.24,71.341,3906,241.19,0.82221,635.5,44.5,92,54,54,92
