node_id,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.65166515,0.8731241,0.8020528,0.9086162,0.8168044,0.8908123,0.8099291,0.57514524,0.7656661,0.11968504,0.60121113,0.21875
1,0.0,0.71947193,0.14597544,0.42961878,0.20496084,0.47796142,0.1770972,0.45673758,0.55365825,0.8764773,0.16850394,0.737985,0.1875
2,0.0,0.7293729,0.79126877,0.49853373,0.8263708,0.5413223,0.80958724,0.52056736,0.5493955,0.89293945,0.22519685,0.83869183,0.1875
3,0.0,0.72667265,0.18553889,0.98680353,0.24412532,0.9986226,0.21571238,0.9929078,0.54412955,0.8999724,0.16850394,0.72039,0.21875
4,0.0,0.72247225,0.047748975,0.97507334,0.11227154,0.9944904,0.08255659,0.9843972,0.6010369,0.8189368,0.21417323,0.77396935,0.21875
5,0.0,0.73717374,0.66302866,0.46627566,0.7049608,0.5123967,0.68442076,0.4921986,0.5509443,0.90377283,0.14488189,0.939191,0.125
6,0.0,0.7317732,0.33015007,0.43841642,0.3851175,0.4876033,0.35952064,0.4638298,0.557925,0.88694745,0.18897638,0.8739914,0.1875
7,0.0,0.7059706,0.9099591,0.32111436,0.94778067,0.36363637,0.92942744,0.3432624,0.63677657,0.76198953,0.18582678,0.8207561,0.125
8,0.0067114094,0.6888689,0.8717599,0.80498534,0.9073107,0.8250689,0.8894807,0.81702125,0.59743595,0.78392607,0.13700788,0.63942623,0.25
9,0.0067114094,0.71107113,0.14461118,0.4208211,0.20365535,0.47245178,0.17576565,0.44822696,0.5579373,0.86088806,0.16692914,0.6648145,0.21875
10,0.0067114094,0.71437144,0.792633,0.50293255,0.82767624,0.54407716,0.80958724,0.5248227,0.5606983,0.85867095,0.2031496,0.7974734,0.25
11,0.0067114094,0.73477346,0.17735334,0.98680353,0.24020888,1.0,0.21038616,0.9929078,0.54377854,0.9101842,0.16062993,0.75447214,0.1875
12,0.0067114094,0.70147014,0.049113233,0.9706745,0.10966057,0.9931129,0.08122503,0.9815603,0.5994886,0.79568255,0.21732284,0.78611946,0.15625
13,0.0067114094,0.7161716,0.6643929,0.4633431,0.7049608,0.5082645,0.6830892,0.48794326,0.546268,0.884114,0.1496063,0.96226937,0.21875
14,0.0067114094,0.7317732,0.3287858,0.43695015,0.3851175,0.4862259,0.35818908,0.4609929,0.5564936,0.89094967,0.2,0.88754904,0.21875
15,0.0067114094,0.70357037,0.90723056,0.3181818,0.9451697,0.36088154,0.9267643,0.34042552,0.63148236,0.76505566,0.18582678,0.8130335,0.21875
16,0.013422819,0.6879688,0.86766714,0.80498534,0.90469974,0.8236915,0.8868176,0.81702125,0.5958737,0.784586,0.12913387,0.44296622,0.1875
17,0.013422819,0.7137714,0.14188267,0.4222874,0.20365535,0.47245178,0.17310253,0.44822696,0.56894934,0.8493909,0.13543308,0.4275823,0.1875
18,0.013422819,0.6894689,0.7899045,0.50293255,0.82506526,0.5413223,0.8082557,0.52340424,0.56037885,0.82808024,0.13543308,0.5410038,0.21875
19,0.013422819,0.7278728,0.17735334,0.9780059,0.24281985,0.9944904,0.21038616,0.98723406,0.5427737,0.9027559,0.11968504,0.5441032,0.15625
20,0.013422819,0.72547257,0.046384722,0.9721408,0.11618799,0.9848485,0.08255659,0.9787234,0.59975314,0.82410103,0.22362205,0.5798537,0.15625
21,0.013422819,0.71047103,0.66302866,0.46187684,0.70234984,0.5096419,0.68442076,0.48794326,0.5490756,0.8713178,0.13858268,0.7084378,0.1875
22,0.013422819,0.73717374,0.3287858,0.42668623,0.38250652,0.47933885,0.3568575,0.45673758,0.57128453,0.87654537,0.18425196,0.663003,0.21875
23,0.013422819,0.6810681,0.9085948,0.31085044,0.9451697,0.36088154,0.9280959,0.33900708,0.6294474,0.742219,0.1511811,0.6184953,0.1875
24,0.020134227,0.68256825,0.8622101,0.8064516,0.9033943,0.8236915,0.88415444,0.81702125,0.6049263,0.76786464,0.17165354,0.5005598,0.125
25,0.020134227,0.72487247,0.13915417,0.42668623,0.20496084,0.47796142,0.17310253,0.45248228,0.5772133,0.8517043,0.13543308,0.4202978,0.1875
26,0.020134227,0.690369,0.7939973,0.49706745,0.8263708,0.5413223,0.81091875,0.51914895,0.5628416,0.8259495,0.1480315,0.54608935,0.15625
27,0.020134227,0.7374737,0.18008186,0.97947216,0.24543081,0.9972452,0.21304926,0.98865247,0.5494098,0.9053214,0.12440945,0.53323215,0.15625
28,0.020134227,0.7269727,0.05047749,0.9677419,0.11488251,0.9889807,0.086551264,0.9787234,0.60268086,0.82290906,0.22519685,0.5693065,0.1875
29,0.020134227,0.7122712,0.6684857,0.46041057,0.7075718,0.5096419,0.689747,0.48794326,0.5495277,0.87387705,0.13858268,0.7271437,0.21875
30,0.020134227,0.74137414,0.32742155,0.4222874,0.38120106,0.47658402,0.35552597,0.45248228,0.58036757,0.86893684,0.16377953,0.635453,0.15625
31,0.020134227,0.64746475,0.9126876,0.313783,0.9464752,0.36088154,0.92942744,0.34042552,0.62215537,0.71028787,0.15433072,0.6111372,0.15625
